"org_uuid","Predicted Funding","Total Funding Received","Number of Founders","Number of organisations founded previously by current Founders","Funding received from organisations founded previously by current Founders","Number of executive jobs held by Founders previously","Funding received from previously held jobs by current Founders","Number of Funding Rounds from previously held jobs by current Founders","Number of Bachelors","University Rankings from Founders' degrees","Number of previous funding rounds","Age at Funding - Series Unknown","Funding Raised (USD) - Series Unknown","Age at Funding - Seed","Funding Raised (USD) - Seed","Number of Investors - Seed","Age at Funding - Series A","Funding Raised (USD) - Series A","Number of Investors - Series A","Funding Raised (USD) - Debt Financing","Age at Funding - Series B","Funding Raised (USD) - Series B","Average organization age at events","Organization Age","name"
"15514b8d-0f1e-3136-e6cf-bbc3d9074d45",283126.8358333333,621052.0,1,0.0,-1.0,1.0,-1.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,280834.0,2.4241519674355496,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,52.0092815047537,"Trounceflow"
"155468e2-2f09-34f6-6a5d-dbc40d409cdd",3111083.194166667,15000000.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,1000000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,56.34612620382349,"InDebted"
"15579d2c-79e2-ecc9-220c-4ec99ac47534",9331777.5825,9078096.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,39.0,3671689.0,34.333333333333336,3326531.06965146,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,104.18283742992668,"CargoSense"
"1557d6a7-8623-464c-88e9-32396873a061",283126.8358333333,200000.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,1326531.069651459,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,36.27179202858376,"Drofika Labs"
"15617311-b124-8825-ca3f-009d569e96d8",180683632.0975,180916000.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,83.0,46000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,108.28969794040944,"Cloud Imperium"
"156c5121-26b7-bf07-5fce-5a615a6d3e41",20076613.344166663,20000000.0,2,0.5,42150006.0,3.0,42150006.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,20000000.0,4.0,0.0,0.0,0.0,32.38670198566705,60.28871229388694,"UnifyID"
"1570d297-a60c-4bb3-9ec5-7248fda02bed",283126.8358333333,467260.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,467260.0,2.4241519674355496,0.0,0.0,0.0,0.0,0.0,0.0,27.039569601018503,59.795889032629006,"Sanctifly"
"1572a1f4-329e-4426-ab26-eeccff9a1c2d",283126.8358333333,228094.0,3,0.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,43.0,228094.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,72.28074498449661,"CloudAdvisors"
"1573260c-324b-4588-9c9e-02e910ef0d2f",3111083.194166667,3016000.0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6361176044577,35.811823651409675,"InVault CN"
"157ac5b1-f41f-c7a1-7c7a-4772eabb5136",4807636.2091666665,5090000.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,15.5,3290000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.62042341731863,43.30273722253024,"Phiar Technologies, Inc."
