"uuid","name","investment_count","logo_url"
"3213cd7d-06e0-3ecb-3359-29aa8deddfa6","Mayfield Fund",571.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1493409060/jiv7jubzyg8czrzm8ifx.png"
"1029072c-c37e-5a60-801f-dfa5ce1fc337","REV",56.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1462366609/ae0uv6fm1tqjcm7gwep0.png"
"b7c000b8-0b00-9936-7e3f-7954f1af2949","Flybridge",333.0,"https://res.cloudinary.com/crunchbase-production/image/upload/b8ph4o3xzczzkbkh9zdt"
"a4aa27bd-c688-65b1-a02a-4f02d021d958","NBCUniversal",32.0,"https://res.cloudinary.com/crunchbase-production/image/upload/nsdhuagykbl8bmatp0gk"
"6efb9171-a87b-212d-f399-b0613da7b1c9","Insight Partners",468.0,"https://res.cloudinary.com/crunchbase-production/image/upload/t0duusbbffagakeu6wiw"
"7d99a976-d466-330f-2688-fa49ad87a15f","GrowthWorks Capital",125.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178515/3aa44f0160efebd43aa05b9b629dc887.gif"
"7d947a72-cacb-f9b2-1b7e-757b33fa09d8","BDC Venture Capital",495.0,"https://res.cloudinary.com/crunchbase-production/image/upload/yj22miah6xtqmniuq8mm"
"28d3ff99-0fcb-dce0-8c56-f6d2678c66a1","Trident Capital",215.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178518/703579a92b7155a4a38a84dd6be1ad36.gif"
"9cbd0a3c-9287-2326-926e-611f711f786b","DEFTA Partners",26.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178521/ac7d9bdfd8972ac61579634514336f5d.jpg"
"98e158f9-8bee-a447-c7f7-4cb7b0ef3ee8","Walden Venture Capital",81.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1453944560/nlyjsvgzo4phj1pijlmo.png"
"16ff4f8a-161c-d93e-4b37-0c95fe08c45c","IDEA Fund Partners",53.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178525/86c05b8486df5d63352ac2a7d3278ade.gif"
"86aace17-c860-1f72-d272-94999baad33b","Columbia Capital",180.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178526/8c083bae48679586e2cffa3cdb1cbe9b.png"
"e2a753f1-1247-b2f9-1f97-c5f2c1ec7b0a","Legg Mason",8.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1476694409/c2jyvezhgujcrxyfl26l.png"
"4ab1b039-d9ce-f96a-06e7-f737e37eee08","Norwest Venture Partners",703.0,"https://res.cloudinary.com/crunchbase-production/image/upload/lbisl4mpqh6onzti3ecx"
"cf253887-5eac-21a2-28d3-47db7311f7e9","Madrona Venture Group",366.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1461021636/akx9xbkm2udyjkipigv2.jpg"
"23cdc874-bb58-4926-9ef3-f7f96e1b06eb","Sutter Hill Ventures",292.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178533/6ac59da9b3335d229c3c5b52c0761783.png"
"dd8c3954-028a-0049-54c0-cd1f516232da","Pinnacle Ventures",77.0,"https://res.cloudinary.com/crunchbase-production/image/upload/v1397178534/e9646f016b8a6a82aa40d04d265801de.png"
